Ref,Val,Package,PosX,PosY,Rot,Side
"R3","2.2KΩ","R_0201_0603Metric",157.151750,-74.295000,90.000000,bottom
"U4","ICM-20602","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",154.351750,-72.625000,90.000000,bottom
